x=5y=5,5,5,
x=5y=15,5,15,
x=5y=25,5,25,
x=5y=35,5,35,
x=5y=45,5,45,
x=5y=55,5,55,
x=5y=65,5,65,
x=5y=75,5,75,
x=5y=85,5,85,
x=5y=95,5,95,
x=5y=105,5,105,
x=5y=115,5,115,
x=5y=125,5,125,
x=5y=135,5,135,
x=5y=145,5,145,
x=5y=155,5,155,
x=5y=165,5,165,
x=5y=175,5,175,
x=5y=185,5,185,
x=5y=195,5,195,
x=5y=205,5,205,
x=5y=215,5,215,
x=5y=225,5,225,
x=5y=235,5,235,
x=5y=245,5,245,
x=5y=255,5,255,
x=5y=265,5,265,
x=5y=275,5,275,
x=5y=285,5,285,
x=5y=295,5,295,
x=5y=305,5,305,
x=5y=315,5,315,
x=5y=325,5,325,
x=5y=335,5,335,
x=5y=345,5,345,
x=5y=355,5,355,
x=5y=365,5,365,
x=5y=375,5,375,
x=5y=385,5,385,
x=5y=395,5,395,
x=5y=405,5,405,
x=5y=415,5,415,
x=5y=425,5,425,
x=5y=435,5,435,
x=5y=445,5,445,
x=5y=455,5,455,
x=5y=465,5,465,
x=5y=475,5,475,
x=5y=485,5,485,
x=5y=495,5,495,
x=5y=505,5,505,
x=5y=515,5,515,
x=5y=525,5,525,
x=5y=535,5,535,
x=5y=545,5,545,
x=5y=555,5,555,
x=5y=565,5,565,
x=5y=575,5,575,
x=5y=585,5,585,
x=5y=595,5,595,
x=5y=595,5,595,
x=15y=5,15,5,
x=15y=15,15,15,
x=15y=25,15,25,
x=15y=35,15,35,
x=15y=45,15,45,
x=15y=55,15,55,
x=15y=65,15,65,
x=15y=75,15,75,
x=15y=85,15,85,
x=15y=95,15,95,
x=15y=105,15,105,
x=15y=115,15,115,
x=15y=125,15,125,
x=15y=135,15,135,
x=15y=145,15,145,
x=15y=155,15,155,
x=15y=165,15,165,
x=15y=175,15,175,
x=15y=185,15,185,
x=15y=195,15,195,
x=15y=205,15,205,
x=15y=215,15,215,
x=15y=225,15,225,
x=15y=235,15,235,
x=15y=245,15,245,
x=15y=255,15,255,
